"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000211896",9752.62790489433,4.34945442563217,0.204899706616156,21.2272359851648,5.35190184950301e-100,1.07273520671438e-95
"ENSG00000211659",452.465099330428,4.84110460352913,0.251725839977981,19.2316553753583,2.01105343424214e-82,1.37390431114295e-78
"ENSG00000211677",3061.1565656497,3.51972078300793,0.183028036455731,19.2305006990514,2.05633253513713e-82,1.37390431114295e-78
"ENSG00000170476",697.729691584362,3.20261201283421,0.171806542422578,18.6408035903372,1.49970915379327e-77,7.5150425696581e-74
"ENSG00000211897",1505.64751393886,4.14681481775828,0.223662083565805,18.5405355778071,9.72483949822941e-77,3.8984936580502e-73
"ENSG00000211663",304.826089587742,4.77560090656819,0.258715585871291,18.4588836829645,4.42390551113306e-76,1.47787936775252e-72
"ENSG00000211673",266.348409780641,4.24926592311855,0.230416059971097,18.4417089835299,6.07891771358892e-76,1.74065466644538e-72
"ENSG00000132465",2075.15401790688,3.21037233052908,0.177576877772161,18.0787745049112,4.68376156709117e-73,1.17351646063469e-69
"ENSG00000254709",642.963871143916,3.36362031031401,0.186689013974124,18.0172375369674,1.42692963117974e-72,3.17793083637408e-69
"ENSG00000211675",1639.61208082214,3.39889308038421,0.190557628661771,17.8365626412,3.67626567967813e-71,7.36870692834684e-68
"ENSG00000211592",8159.58553203536,3.04576795129886,0.172340723172801,17.6729440101337,6.77662236306654e-70,1.23482380586642e-66
"ENSG00000211950",111.901657564681,5.12880618093255,0.292863888110599,17.5125933552985,1.14840872180857e-68,1.91822536832758e-65
"ENSG00000211956",146.685963699808,4.05249460686817,0.233359483530535,17.3658877949047,1.49568415225522e-67,2.30611485752335e-64
"ENSG00000270550",311.030868393247,3.87171487780643,0.225609676803613,17.1611206250548,5.19024368325809e-66,7.43094602765894e-63
"ENSG00000211899",6020.86493633648,3.02267438537093,0.177969952021005,16.9841838526437,1.07539105449935e-64,1.437009219759e-61
"ENSG00000211895",10038.4373502055,2.97357649437061,0.178025836664146,16.7030614774213,1.24509055847876e-62,1.55978719713427e-59
"ENSG00000211666",394.216299341019,3.20382606807058,0.202368379914163,15.8316534896881,1.88209532831123e-56,2.21910110356884e-53
"ENSG00000211679",1938.22658937212,3.06387054534519,0.194905212081304,15.7197979090837,1.10676138357978e-55,1.23244028735962e-52
"ENSG00000239975",68.9014859755503,4.01437716862077,0.25809017953525,15.5541647336197,1.49087535118025e-54,1.57279502837142e-51
"ENSG00000242076",105.813490958071,3.9188217985808,0.253538259211801,15.4565303507393,6.81730330850843e-54,6.83230137578715e-51
"ENSG00000211966",111.363356092248,3.65485261634779,0.236624285573151,15.4458051822323,8.05158364887295e-54,7.68504488847664e-51
"ENSG00000211598",538.244683023156,3.50567555923508,0.227459024973845,15.4123388141586,1.35227708804381e-53,1.23204736148865e-50
"ENSG00000243466",391.087456546132,3.31188607370263,0.219456785236009,15.0912903884058,1.84792643455029e-51,1.61042771539679e-48
"ENSG00000211955",160.919184607289,3.58515812248021,0.237800741109542,15.0763118136319,2.31864389713809e-51,1.93645409475983e-48
"ENSG00000115155",170.123237572595,3.81575091454776,0.253285718268128,15.0650061939474,2.751398522525e-51,2.20596127941965e-48
"ENSG00000211962",124.25462108,3.82324984186484,0.254108787004247,15.0457207203974,3.6830052354101e-51,2.83931372840615e-48
"ENSG00000244116",136.963651927662,3.48100220883864,0.23180723317806,15.0167971944376,5.69958648229477e-51,4.23120412781913e-48
"ENSG00000048462",56.0482815908226,3.07465215529251,0.206441149484757,14.8936012174236,3.6269589931412e-50,2.59638450209008e-47
"ENSG00000211637",130.512639171564,4.01084375175618,0.269728642190071,14.869921559646,5.16738471324626e-50,3.571553765252e-47
"ENSG00000211949",144.996816134699,3.00117599844068,0.204927799368678,14.6450408762814,1.4491408202895e-48,9.68219286729421e-46
"ENSG00000211946",29.6338034917152,4.47371450670831,0.308726749182425,14.4908548370223,1.38409497151187e-47,8.94929019644645e-45
"ENSG00000211662",344.758845793546,3.4570395690385,0.238684152269768,14.4837415310726,1.53508459771767e-47,9.61538614895407e-45
"ENSG00000211959",140.501558197702,3.21155617325548,0.222092682560205,14.4604321773857,2.15440826755622e-47,1.30857452469385e-44
"ENSG00000274576",31.9944722241956,4.97840449412545,0.344374536809174,14.4563664324697,2.28548633160664e-47,1.34736141266834e-44
