"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0006753","nucleoside phosphate metabolic process",58,0.561035879172546,2.16179884226949,2.26931528828228e-06,0.000401668806025963,0.000401668806025963,176,"tags=34%, list=12%, signal=31%","65220/1890/6241/957/3458/2203/10924/79077/6470/10135/4907/50484/8942/117/100/3303/142/60490/2023/80146",0.627256739718528
"GO:0009117","nucleotide metabolic process",48,0.579907564252117,2.15643271430253,5.24390677180239e-06,0.000680659098979951,0.000680659098979951,169,"tags=35%, list=12%, signal=32%","65220/1890/6241/957/3458/2203/79077/6470/10135/4907/50484/8942/117/100/3303/142/2023",0.610526878385931
"GO:0019637","organophosphate metabolic process",91,0.504953851709086,2.15334696497631,3.06124229816686e-07,9.93373125755147e-05,9.93373125755147e-05,176,"tags=29%, list=12%, signal=27%","65220/1890/6241/957/3458/6609/2203/10924/79077/5320/6652/6470/10135/4907/50484/8942/23659/51181/117/3612/100/3303/142/60490/2023/80146",0.674962860011025
"GO:0055086","nucleobase-containing small molecule metabolic process",61,0.553492717338851,2.1410859237335,5.17973823886924e-06,0.000680659098979951,0.000680659098979951,176,"tags=33%, list=12%, signal=30%","65220/1890/6241/957/3458/2203/10924/79077/6470/10135/4907/50484/8942/117/100/3303/142/60490/2023/80146",0.610526878385931
"GO:0034655","nucleobase-containing compound catabolic process",42,0.587726436932112,2.07996840464127,1.54764951592684e-05,0.00158593347763661,0.00158593347763661,440,"tags=69%, list=31%, signal=49%","1890/957/3458/2203/10924/79077/4907/4869/6419/2521/100/3303/2023/3569/87178/2332/11164/351/2026/328/1676/10591/7431/836/8635/2272/581/3099/253943",0.575610261071129
"GO:0006281","DNA repair",24,0.654602446330048,2.02723090534575,0.000168193727477673,0.0105636512064203,0.0105636512064203,302,"tags=54%, list=21%, signal=43%","6241/50484/4869/6419/1956/2521/177/142/4683/2332/571/63967/328",0.518848077743792
"GO:0009166","nucleotide catabolic process",18,0.686238323841713,2.02526727362845,0.000577738438431402,0.0208591512173294,0.0208591512173294,169,"tags=44%, list=12%, signal=40%","1890/957/3458/2203/79077/4907/100/2023",0.477270815362862
"GO:1901292","nucleoside phosphate catabolic process",21,0.657472517622435,2.003085476503,0.000590998607354322,0.020921350700343,0.020921350700343,169,"tags=43%, list=12%, signal=38%","1890/957/3458/2203/10924/79077/4907/100/2023",0.477270815362862
"GO:0044281","small molecule metabolic process",164,0.435576027720661,1.99799108872484,7.56660201041402e-08,2.94643482285522e-05,2.94643482285522e-05,244,"tags=32%, list=17%, signal=30%","65220/1890/6241/957/2350/3458/6480/2203/6482/634/255738/10924/79077/5805/6652/6470/2720/10135/642/4907/50484/8942/51540/23659/51181/117/3612/216/834/1066/100/3303/23516/3930/142/2517/127/60490/2023/3952/80146/2678/4025/1357/7124/30/4048/2938/148811/64080/189/10020/2053",0.704975715167238
"GO:1901135","carbohydrate derivative metabolic process",103,0.464000356377942,1.98465085312181,1.65022899304282e-06,0.0003745096765092,0.0003745096765092,176,"tags=28%, list=12%, signal=27%","65220/1890/6241/957/3458/6609/6480/2203/6482/79077/2590/6652/6470/2720/5806/4907/50484/411/9394/51181/117/216/100/3303/9953/142/2517/2023/80146",0.643551836150722
"GO:0006325","chromatin organization",26,0.623656148103509,1.98337452922177,0.000380010061470059,0.0164417686596045,0.0164417686596045,302,"tags=54%, list=21%, signal=43%","84661/4869/6419/3930/11168/7124/54737/4683/2332/11164/23186/351/1386/328",0.49849310876659
"GO:0007040","lysosome organization",10,0.795008139956035,1.9768175216668,0.00101375237101083,0.0286054473385229,0.0286054473385229,132,"tags=50%, list=9%, signal=46%","1200/2896/8804/411/3920",0.45505986738723
"GO:0080171","lytic vacuole organization",10,0.795008139956035,1.9768175216668,0.00101375237101083,0.0286054473385229,0.0286054473385229,132,"tags=50%, list=9%, signal=46%","1200/2896/8804/411/3920",0.45505986738723
"GO:0007423","sensory organ development",34,-0.624627580460064,-1.96804111286575,7.57182100805497e-05,0.00589693420107321,0.00589693420107321,330,"tags=53%, list=23%, signal=42%","654/7483/793/1969/5797/2263/7070/682/3815/1282/94/5159/10218/2202/4916/8829/8076/4919",0.538434096309916
"GO:0009185","ribonucleoside diphosphate metabolic process",16,0.680224258774095,1.9642121103694,0.00118141950654998,0.0303304818121492,0.0303304818121492,300,"tags=62%, list=21%, signal=50%","6241/957/3458/2203/4907/50484/2023/11164/351/2026",0.45505986738723
"GO:0046434","organophosphate catabolic process",33,0.580699884649476,1.95937231128444,0.000422745329051272,0.0175124501204857,0.0175124501204857,169,"tags=33%, list=12%, signal=30%","1890/957/3458/6609/2203/10924/79077/4907/23659/100/2023",0.49849310876659
"GO:0030163","protein catabolic process",99,0.462359859057791,1.94933503360228,2.19305870298491e-06,0.000401668806025963,0.000401668806025963,147,"tags=25%, list=10%, signal=24%","725/1200/3002/5641/5045/27074/3458/4745/5721/1519/6737/1512/5720/634/255738/7430/1075/2720/27429/411/5601/1956/3920/3001/3303",0.627256739718528
"GO:0072329","monocarboxylic acid catabolic process",14,0.707347300578136,1.9429110762611,0.00199707878986179,0.0370134034815206,0.0370134034815206,241,"tags=50%, list=17%, signal=42%","6652/23659/51181/1066/3952/30/189",0.431707695803346
"GO:0042176","regulation of protein catabolic process",48,0.521138095874323,1.93789374012052,0.000145023991679906,0.00973661075175093,0.00973661075175093,147,"tags=27%, list=10%, signal=25%","725/5045/27074/3458/4745/5721/5720/255738/7430/1075/5601/1956/3303",0.518848077743792
"GO:0072524","pyridine-containing compound metabolic process",18,0.65528504355812,1.9339161155951,0.00142082182156956,0.0337358547145845,0.0337358547145845,318,"tags=56%, list=22%, signal=44%","65220/3458/2203/10135/8942/2023/64080/351/2026/952",0.45505986738723
"GO:0009056","catabolic process",271,0.405056390616656,1.93056787467095,6.63160549973248e-10,1.29117359079791e-06,1.29117359079791e-06,273,"tags=31%, list=19%, signal=31%","725/1890/1200/3002/5641/5045/957/27074/3458/6609/2203/4745/5721/1519/6737/1512/5720/8804/634/255738/10924/7430/1075/79077/5320/6652/6470/2720/642/27429/4907/411/8942/5601/4869/6419/5657/51540/1956/83636/23659/2521/3920/51181/3162/216/1066/3964/3001/100/3303/2517/127/29952/2023/3952/4233/2678/4025/5052/3791/7124/30/1208/7078/4048/3290/2938/148811/64080/3569/87178/189/2053/279/8530/2332/3949/11164/3315/10296/1514/841",0.801215574617779
"GO:1901293","nucleoside phosphate biosynthetic process",27,0.592256514537761,1.9304067010616,0.00100410607120626,0.0286054473385229,0.0286054473385229,176,"tags=44%, list=12%, signal=40%","65220/6241/6470/10135/50484/8942/117/100/142/60490/2023/80146",0.45505986738723
"GO:0009887","animal organ morphogenesis",71,-0.523028035146034,-1.92371636805476,2.08562980781231e-05,0.0018457823799139,0.0018457823799139,318,"tags=46%, list=22%, signal=38%","7483/1942/793/2348/2069/1041/1969/5797/2263/7070/682/947/84957/4880/6091/1277/59/3694/7048/80781/2022/94/4322/2202/9622/6092/1297/8829/7049/652/23768/8076/1311",0.575610261071129
"GO:0046496","nicotinamide nucleotide metabolic process",16,0.664197356942215,1.91793291014415,0.00193801602851822,0.0370134034815206,0.0370134034815206,300,"tags=56%, list=21%, signal=45%","65220/3458/2203/10135/8942/2023/64080/351/2026",0.45505986738723
"GO:0009165","nucleotide biosynthetic process",22,0.617576932189594,1.91676282403567,0.00106398755373648,0.0291772361566891,0.0291772361566891,169,"tags=45%, list=12%, signal=41%","65220/6241/6470/10135/50484/8942/117/100/142/2023",0.45505986738723
"GO:0007420","brain development",48,-0.554566232052698,-1.91434675282693,8.86482729351308e-05,0.00663839182325768,0.00663839182325768,296,"tags=46%, list=21%, signal=38%","23544/26047/6422/2263/4852/374946/26470/53942/6091/7048/347902/999/1282/7301/4915/1272/266727/6092/3339/8829/152330/652",0.538434096309916
"GO:0006338","chromatin remodeling",21,0.627492637960735,1.9117474206481,0.00150693223499802,0.0349285364469183,0.0349285364469183,302,"tags=52%, list=21%, signal=42%","84661/4869/6419/3930/11168/54737/4683/11164/351/1386/328",0.45505986738723
"GO:0034329","cell junction assembly",72,-0.522393474467865,-1.9048402537339,5.45255499298239e-05,0.00442338523805697,0.00442338523805697,311,"tags=42%, list=22%, signal=34%","3605/26047/2658/1969/6422/1013/4884/7070/7058/53942/1015/90952/347902/999/1829/51738/94/3556/1001/4916/266727/1830/1003/6092/8829/5802/7087/1004/64084/55118",0.557332238758646
"GO:0043010","camera-type eye development",20,-0.671592819575123,-1.90069104653977,0.000536752768091714,0.0200972622975878,0.0200972622975878,318,"tags=60%, list=22%, signal=47%","7483/793/1969/5797/7070/682/1282/94/5159/10218/2202/8829",0.477270815362862
"GO:0009141","nucleoside triphosphate metabolic process",28,0.57814544935246,1.89619567756563,0.00266726231203146,0.044036704483304,0.044036704483304,169,"tags=32%, list=12%, signal=29%","65220/3458/2203/10924/79077/4907/3303/142/2023",0.431707695803346
"GO:0009132","nucleoside diphosphate metabolic process",17,0.653316555365667,1.89541361704039,0.00194859757432313,0.0370134034815206,0.0370134034815206,300,"tags=59%, list=21%, signal=47%","6241/957/3458/2203/4907/50484/2023/11164/351/2026",0.45505986738723
"GO:0001654","eye development",26,-0.621532721975705,-1.89421473342226,0.000855191420317884,0.0268557692799826,0.0268557692799826,330,"tags=54%, list=23%, signal=42%","654/7483/793/1969/5797/7070/682/1282/94/5159/10218/2202/8829/8076",0.477270815362862
"GO:0051607","defense response to virus",32,0.547730360402431,1.89030977650881,0.00188654952134974,0.0370134034815206,0.0370134034815206,149,"tags=34%, list=11%, signal=31%","3627/23586/282618/684/3458/6737/2634/163702/10859/834/10084",0.45505986738723
"GO:0045445","myoblast differentiation",11,-0.775398108070073,-1.89009716939751,0.000674675677448029,0.023115106434001,0.023115106434001,36,"tags=36%, list=3%, signal=36%","3688/84466/652/91653",0.477270815362862
"GO:0009057","macromolecule catabolic process",122,0.43233741481797,1.87105222719916,5.11632432513454e-06,0.000680659098979951,0.000680659098979951,147,"tags=23%, list=10%, signal=23%","725/1200/3002/5641/5045/27074/3458/4745/5721/1519/6737/1512/5720/634/255738/7430/1075/2720/27429/411/5601/4869/6419/1956/2521/3920/3001/3303",0.610526878385931
"GO:0007155","cell adhesion",354,-0.417358202771786,-1.8536736504912,1.45607171091568e-09,1.41748581057642e-06,1.41748581057642e-06,350,"tags=38%, list=25%, signal=38%","5175/10232/51206/2056/3572/6403/1490/5068/654/3373/3693/10272/147409/8581/1942/4345/27329/6900/1041/26047/780/4072/1969/5797/6422/1013/4254/8764/940/8578/7070/4852/151887/56477/8840/3689/10669/51330/682/3678/10653/945/7058/53942/947/1604/80381/3910/6091/285704/1088/81607/3815/1015/83692/3490/90952/3694/6441/30835/921/6366/7048/214/347902/7499/80781/999/3960/1829/2041/3491/4685/5133/2022/8639/3897/10752/7301/94/923/4267/2064/23308/8404/3556/4340/4179/1001/1272/266727/94025/11126/375033/8745/22801/10085/53616/1293/3575/283659/2191/965/50856/1830/58494/1003/6092/27242/8751/3695/8829/4856/3688/3685/7060/5802/10418/4321/7087/152330/10457/4162/84466/652/23768/22918/1004/64084/7148/1824/91179/1311/91653/50937",0.788186810800237
"GO:0007033","vacuole organization",15,0.679738046054251,1.85269100523171,0.00251645284113505,0.0429439720107157,0.0429439720107157,132,"tags=33%, list=9%, signal=31%","1200/2896/8804/411/3920",0.431707695803346
"GO:0006914","autophagy",53,0.491078593949127,1.84889361570009,0.000351769970157438,0.0160823525991659,0.0160823525991659,434,"tags=45%, list=31%, signal=33%","27074/3458/6737/8804/27429/411/83636/3920/3964/3952/4233/3791/3315/11315/55968/9146/85363/836/1981/11140/22933/7157/326624/3099",0.49849310876659
"GO:0061919","process utilizing autophagic mechanism",53,0.491078593949127,1.84889361570009,0.000351769970157438,0.0160823525991659,0.0160823525991659,434,"tags=45%, list=31%, signal=33%","27074/3458/6737/8804/27429/411/83636/3920/3964/3952/4233/3791/3315/11315/55968/9146/85363/836/1981/11140/22933/7157/326624/3099",0.49849310876659
"GO:0009653","anatomical structure morphogenesis",309,-0.420873772369845,-1.84802278744999,7.1699742350365e-09,4.65331327853869e-06,4.65331327853869e-06,337,"tags=37%, list=24%, signal=36%","356/51129/3373/3693/1945/4854/140862/7483/5617/1942/2817/27329/2051/793/2348/6900/7857/2069/1041/26047/133/780/2149/2658/1969/5797/6422/126393/1013/4884/2263/170689/7070/374946/3689/51330/682/3678/10653/7058/53942/947/84957/4880/6091/25805/1277/64094/3815/1015/59/3490/2277/3694/8742/3934/7048/214/4090/80781/999/161198/1829/2041/9982/1282/51738/57125/577/2022/4681/3897/94/4915/5159/56963/4322/285/2064/350/2202/1001/1272/7252/11126/9622/2191/4879/1003/6092/8751/1297/3339/8829/2676/4856/1368/3688/3685/7060/5802/11202/4321/152330/7049/10457/4162/6369/652/23768/8076/22918/1004/1311/91653",0.761460801445585
"GO:0007156","homophilic cell-cell adhesion",41,-0.546233071012813,-1.83420685688251,0.000834774911975191,0.0266443730100934,0.0266443730100934,320,"tags=59%, list=23%, signal=47%","147409/6900/5797/1013/682/6091/1088/81607/1015/90952/347902/999/1829/3897/1001/1830/1003/6092/3688/7087/152330/1004/64084/1824",0.477270815362862
"GO:0016054","organic acid catabolic process",29,0.555979794684197,1.83390674342985,0.00123066669910621,0.0303304818121492,0.0303304818121492,344,"tags=48%, list=24%, signal=37%","6652/6470/642/8942/51540/23659/51181/1066/3952/30/189/5445/883/23576",0.45505986738723
"GO:0046395","carboxylic acid catabolic process",29,0.555979794684197,1.83390674342985,0.00123066669910621,0.0303304818121492,0.0303304818121492,344,"tags=48%, list=24%, signal=37%","6652/6470/642/8942/51540/23659/51181/1066/3952/30/189/5445/883/23576",0.45505986738723
"GO:0060322","head development",50,-0.535689153376905,-1.83359844762711,0.000198787475313935,0.0110582632696066,0.0110582632696066,296,"tags=44%, list=21%, signal=36%","23544/26047/6422/2263/4852/374946/26470/53942/6091/7048/347902/999/1282/7301/4915/1272/266727/6092/3339/8829/152330/652",0.518848077743792
"GO:0003205","cardiac chamber development",15,-0.687011216172849,-1.83041012426969,0.00181817781774085,0.0370134034815206,0.0370134034815206,268,"tags=53%, list=19%, signal=44%","2263/6091/7048/2022/6092/8829/7049/652",0.45505986738723
"GO:0003206","cardiac chamber morphogenesis",15,-0.687011216172849,-1.83041012426969,0.00181817781774085,0.0370134034815206,0.0370134034815206,268,"tags=53%, list=19%, signal=44%","2263/6091/7048/2022/6092/8829/7049/652",0.45505986738723
"GO:0003007","heart morphogenesis",23,-0.624450286373364,-1.82774876015553,0.000970317341559698,0.0286054473385229,0.0286054473385229,316,"tags=52%, list=22%, signal=41%","1942/2348/2263/6091/7048/2022/94/6092/8829/7049/652/23768",0.477270815362862
"GO:0001944","vasculature development",169,-0.440581346557478,-1.82490292505898,1.7311695370225e-06,0.0003745096765092,0.0003745096765092,350,"tags=43%, list=25%, signal=37%","5175/51206/11005/356/51129/3373/4854/140862/5617/1942/27329/2348/7857/2069/133/2658/1969/5797/6422/126393/2263/7070/3689/10406/51330/682/3678/7058/947/4880/6091/1277/64094/3815/59/3490/2277/8742/7048/80781/161198/1829/2041/9982/1282/51738/57125/577/2022/94/5159/285/2064/350/10218/11126/2191/4879/1003/6092/8751/3339/8829/4856/3688/3685/7060/7049/10457/4162/6369/652/22918",0.643551836150722
"GO:0009615","response to virus",60,0.47688684645815,1.81882126088311,0.000184823317264672,0.0108420059697793,0.0108420059697793,269,"tags=38%, list=19%, signal=32%","3627/23586/282618/6355/684/3965/3458/6609/6737/3460/2634/163702/10859/834/3964/10084/2023/7124/3569/6352/7098/2332/3315",0.518848077743792
"GO:0045732","positive regulation of protein catabolic process",30,0.557613162509592,1.81576382589744,0.00162055695762077,0.0370134034815206,0.0370134034815206,298,"tags=43%, list=21%, signal=35%","725/5045/3458/255738/7430/1075/5601/3303/7124/2332/3949/351/51667",0.45505986738723
"GO:0003279","cardiac septum development",11,-0.744108772076475,-1.81382681900805,0.00184624574288608,0.0370134034815206,0.0370134034815206,268,"tags=73%, list=19%, signal=59%","2263/6091/7048/2022/6092/8829/7049/652",0.45505986738723
"GO:0060411","cardiac septum morphogenesis",11,-0.744108772076475,-1.81382681900805,0.00184624574288608,0.0370134034815206,0.0370134034815206,268,"tags=73%, list=19%, signal=59%","2263/6091/7048/2022/6092/8829/7049/652",0.45505986738723
"GO:0090407","organophosphate biosynthetic process",44,0.492240098604856,1.80742990848353,0.00136848346225441,0.032894287666782,0.032894287666782,176,"tags=30%, list=12%, signal=27%","65220/6241/6470/10135/50484/8942/117/3612/100/142/60490/2023/80146",0.45505986738723
"GO:0009261","ribonucleotide catabolic process",14,0.657367903290038,1.80562982206457,0.00718256556859887,0.0813049718724535,0.0813049718724535,169,"tags=43%, list=12%, signal=38%","957/3458/2203/4907/100/2023",0.407017918923954
"GO:0048812","neuron projection morphogenesis",72,-0.492467770160761,-1.79572004268307,0.00039118413691502,0.0165572937950771,0.0165572937950771,327,"tags=40%, list=23%, signal=33%","1945/4854/1942/2051/6900/26047/5797/4884/2263/7070/374946/682/53942/6091/214/999/577/4681/3897/4915/56963/1272/6092/8829/2676/5802/11202/152330/91653",0.49849310876659
"GO:0008593","regulation of Notch signaling pathway",16,-0.669657253071151,-1.79469879924622,0.00293957627774507,0.0473004546509888,0.0473004546509888,341,"tags=62%, list=24%, signal=48%","3572/2658/6091/3815/94/4179/8788/196403/6092/4856",0.431707695803346
"GO:0003151","outflow tract morphogenesis",12,-0.726042347889236,-1.78991534516766,0.00237997664633445,0.0421255866401198,0.0421255866401198,300,"tags=75%, list=21%, signal=60%","2348/2263/6091/7048/2022/6092/8829/7049/652",0.431707695803346
"GO:0021953","central nervous system neuron differentiation",14,-0.703643107380302,-1.78894742111067,0.000954792264094742,0.0286054473385229,0.0286054473385229,277,"tags=64%, list=20%, signal=52%","6422/2263/4852/374946/6091/4915/266727/6092/8829",0.477270815362862
"GO:0051963","regulation of synapse assembly",24,-0.600498723710902,-1.78793235304127,0.00195445048467605,0.0370134034815206,0.0370134034815206,227,"tags=46%, list=16%, signal=39%","7058/347902/51738/3556/4916/266727/6092/5802/7087/64084/55118",0.431707695803346
"GO:0034605","cellular response to heat",11,0.695415990019967,1.78761835622671,0.0067727928802119,0.0784918317724558,0.0784918317724558,147,"tags=36%, list=10%, signal=33%","3627/27429/3162/3303",0.407017918923954
"GO:0009191","ribonucleoside diphosphate catabolic process",13,0.670120584356064,1.78561906505701,0.00956957733695223,0.099423883588424,0.099423883588424,300,"tags=62%, list=21%, signal=49%","957/3458/2203/4907/2023/11164/351/2026",0.380730400722792
"GO:0019752","carboxylic acid metabolic process",88,0.427431692829649,1.78542031984002,0.00033642605132351,0.0160823525991659,0.0160823525991659,242,"tags=32%, list=17%, signal=28%","2350/3458/6480/2203/6482/634/6652/6470/10135/642/8942/51540/23659/51181/216/834/1066/127/2023/3952/2678/1357/30/4048/2938/148811/189/10020",0.49849310876659
"GO:0001525","angiogenesis",149,-0.433200808599201,-1.78233696765542,1.14260614871529e-05,0.00124738807467397,0.00124738807467397,344,"tags=43%, list=24%, signal=36%","11005/356/51129/3373/4854/140862/5617/1942/27329/7857/2069/133/2658/1969/5797/6422/126393/2263/7070/3689/51330/682/3678/7058/947/4880/6091/64094/3490/2277/8742/7048/80781/161198/1829/2041/9982/1282/51738/57125/577/2022/94/5159/285/2064/350/11126/2191/4879/1003/8751/3339/8829/4856/3688/3685/7060/7049/10457/4162/6369/652/22918",0.593325476396405
"GO:0048513","animal organ development",281,-0.403896438016409,-1.78097834084111,1.4482924461569e-06,0.0003745096765092,0.0003745096765092,363,"tags=37%, list=26%, signal=35%","56955/4747/162466/50604/26254/7132/5266/5175/11005/5068/93185/654/3373/4854/7483/5617/1942/3605/2817/793/2348/23544/2069/1041/26047/780/4072/2658/1969/5797/2323/6422/4254/4055/2263/8792/7070/4852/374946/8840/1081/10406/26470/682/53942/947/84957/4880/6091/4023/25805/1277/3815/1015/59/3694/2688/6441/25884/7048/4090/347902/80781/999/1829/3491/1282/3482/51738/2022/7301/94/4915/5159/4322/8074/285/10218/2202/1001/1272/4916/4969/266727/9622/22801/1293/4879/6092/8751/1297/3339/114990/8829/4856/3688/152330/7049/84466/652/23768/8076/1311/4919/50937",0.643551836150722
"GO:0060840","artery development",17,-0.664987408163995,-1.78060129107992,0.0019661213516655,0.0370134034815206,0.0370134034815206,307,"tags=59%, list=22%, signal=47%","27329/2348/6091/7048/2022/94/5159/6092/8829/652",0.431707695803346
"GO:0007043","cell-cell junction assembly",21,-0.618712905266132,-1.77582866317699,0.00197702664539013,0.0370134034815206,0.0370134034815206,350,"tags=71%, list=25%, signal=55%","5175/3605/26047/2658/1969/1013/1015/90952/999/1829/94/1001/1830/1003/1004",0.431707695803346
"GO:0006974","DNA damage response",52,0.470947426735422,1.77564363273545,0.00171225549012987,0.0370134034815206,0.0370134034815206,354,"tags=44%, list=25%, signal=34%","6241/27429/50484/4869/6419/1956/2521/177/142/7124/637/4683/2332/571/63967/51499/1386/328/1026/4067/4282/4332/11315",0.45505986738723
"GO:0044282","small molecule catabolic process",44,0.483515338303793,1.7753939310059,0.00190472538297891,0.0370134034815206,0.0370134034815206,344,"tags=48%, list=24%, signal=37%","6652/6470/2720/642/8942/51540/23659/51181/1066/100/127/2023/3952/30/64080/189/11164/2026/5445/883/23576",0.45505986738723
"GO:0071772","response to BMP",28,-0.577644181739279,-1.77444957062596,0.00253649552194777,0.0429439720107157,0.0429439720107157,330,"tags=57%, list=23%, signal=45%","654/10272/2658/6422/25805/285704/25884/4090/3491/2022/4681/94/56963/1003/7049/652",0.431707695803346
