"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant"
"OID20750",0.969235725094574,6.18758798955614,10.6503038859215,2.1729890930885e-23,1.82658906707263e-21,42.3256605094859,"Up",TRUE
"OID20604",1.28023181168558,6.34757754569191,10.5720694432236,4.16376384314996e-23,3.30556585103405e-21,41.6837766318161,"Up",TRUE
"OID20405",-1.01329957965531,5.13665404699739,-10.5504681525752,4.97180495975225e-23,3.73932067762419e-21,41.5086805363462,"Down",TRUE
"OID21429",0.870458982765865,5.95109817232376,10.521832746986,6.2759455148943e-23,4.48416307039197e-21,41.2786762904169,"Up",TRUE
"OID20654",0.824714678436314,6.48111096605744,10.4677211980829,9.79749397709385e-23,6.66696137774624e-21,40.8390719428124,"Up",TRUE
"OID20536",1.12919676334594,2.50028877284595,10.0938152868779,2.0658836532151e-21,1.33206657754606e-19,37.8312205716453,"Up",TRUE
"OID20773",0.774455069356869,6.07667545691906,10.0886761433417,2.14398399465076e-21,1.33206657754606e-19,37.7944978542078,"Up",TRUE
"OID21029",1.67215067675493,4.43708772845953,10.0470067046678,3.01104036035794e-21,1.79282361456313e-19,37.4596326054641,"Up",TRUE
"OID20781",0.930400105086167,8.38766657963446,10.0124991764006,3.96271879663982e-21,2.26509006415932e-19,37.1886829465972,"Up",TRUE
"OID21048",-0.848412274064729,1.63635091383812,-9.99407018246112,4.60497361179177e-21,2.53096434278863e-19,37.0406108404553,"Down",TRUE
"OID21187",1.33390882723833,2.01743577023499,9.8862632397509,1.08959926135099e-20,5.76680497952062e-19,36.191281905391,"Up",TRUE
"OID21079",-0.920265208070614,2.49372480417755,-9.86290148331041,1.31224164053055e-20,6.69711894399343e-19,36.0079504069807,"Down",TRUE
"OID21514",0.757996914670026,3.75887806788512,9.715771230116,4.19244268560894e-20,2.0658622750811e-18,34.8626793022628,"Up",TRUE
"OID20104",0.687150277427488,2.91932767624021,9.58099759560054,1.20811381220974e-19,5.75464879215907e-18,33.8195096096779,"Up",TRUE
"OID21107",-0.581672189995793,1.87618590078329,-9.55961565114896,1.42726252763924e-19,6.5792198451499e-18,33.6552156613429,"Down",TRUE
"OID20664",-1.02383754518705,5.1858365535248,-9.40173943151263,4.88521880174032e-19,2.18155552115216e-17,32.4429232483493,"Down",TRUE
"OID20362",0.681900214375784,4.35890835509138,9.36122970399095,6.6559069262516e-19,2.88220939321622e-17,32.1381150208587,"Up",TRUE
"OID20265",-0.795173547709118,2.92362036553525,-9.21393415330327,2.06614017603425e-18,8.68386562221454e-17,31.02248086286,"Down",TRUE
"OID20638",1.05963895334173,6.12384934725849,9.18334374882524,2.61187809069861e-18,1.06639251188809e-16,30.7916997443298,"Up",TRUE
"OID21159",0.681796553173599,5.6621091383812,9.13822464640881,3.66995534330266e-18,1.45676838488319e-16,30.4566898383714,"Up",TRUE
"OID20180",0.664997540983604,3.97661723237598,9.00682127784,9.91767529504228e-18,3.83036702611227e-16,29.4779792229066,"Up",TRUE
"OID21062",0.736214031105504,5.77180574412533,9.00177104234037,1.03040325738133e-17,3.87485856525768e-16,29.4403681213554,"Up",TRUE
"OID20157",-0.688376267339215,1.07769216710183,-8.89234806438759,2.34679628104477e-17,8.59890227080251e-16,28.630367502509,"Down",TRUE
"OID20397",-0.756090508617062,4.07834778067885,-8.8629087059826,2.9185191254036e-17,1.04264095755044e-15,28.4157639866696,"Down",TRUE
"OID21084",0.972465947877256,5.12056292428198,8.76035428668958,6.25980222897109e-17,2.18177009395114e-15,27.665053856752,"Up",TRUE
"OID20239",-0.955242063892385,2.99622245430809,-8.75438977070456,6.54211181095245e-17,2.22587566139311e-15,27.6216595963023,"Down",TRUE
"OID20985",-1.10418434216057,3.40285665796345,-8.74594731553072,6.96337545712112e-17,2.31410779726188e-15,27.5602709830691,"Down",TRUE
"OID20946",-0.56384691046658,1.8845681462141,-8.69786012907057,9.90426327566955e-17,3.21663459566631e-15,27.2136378284587,"Down",TRUE
"OID20126",-0.723633972257247,0.840514882506527,-8.63302936165,1.59838189156217e-16,5.07575049564966e-15,26.7430107709212,"Down",TRUE
"OID20334",-1.22173729298024,5.08809399477807,-8.54701051352504,2.99590411776859e-16,9.3068412701985e-15,26.1252424554924,"Down",TRUE
"OID20994",-0.759845876418658,1.67551618798956,-8.52335376779355,3.5583783686458e-16,1.08189844442444e-14,25.9560807275076,"Down",TRUE
"OID20746",-0.615723312316098,4.91078485639687,-8.37101850505051,1.06691301387453e-15,3.1762889517223e-14,24.8766906980745,"Down",TRUE
"OID20653",-0.910545140815465,4.76473968668407,-8.28528515183678,1.97510128830309e-15,5.76004028772473e-14,24.271667242139,"Down",TRUE
"OID20772",-1.41032061790667,5.01057180156658,-8.2607624901256,2.35213016479328e-15,6.7223880109792e-14,24.1000380737628,"Down",TRUE
"OID20173",-0.587470840689363,3.41194125326371,-8.2127605660059,3.30062974720512e-15,9.07038443991561e-14,23.7671490865093,"Down",TRUE
"OID20255",-0.717537179487176,3.74623028720627,-8.19065443371906,3.86475655377609e-15,1.04202587082001e-13,23.6122243436348,"Down",TRUE
"OID21458",-0.725889289617483,4.42380861618799,-8.15903328589692,4.83257173080117e-15,1.27884166728053e-13,23.3927419082879,"Down",TRUE
"OID20652",0.6877618495166,6.50119033942559,8.08742784391044,7.99337157157701e-15,2.07682326832428e-13,22.8985625542277,"Up",TRUE
"OID20145",-0.622223270281628,1.79166762402089,-8.06709644984207,9.22789781522005e-15,2.31345017157008e-13,22.7576057219229,"Down",TRUE
"OID20495",2.11557223346828,2.96134162303665,8.06056826450646,9.72191916163761e-15,2.39527973827244e-13,22.7069078341323,"Up",TRUE
"OID20384",-0.77912518705338,4.50405039164491,-8.04152989250404,1.10370365770993e-14,2.67320767265676e-13,22.5818585360413,"Down",TRUE
"OID21315",0.818912412778474,3.37169164490862,8.01356314419695,1.34204349506367e-14,3.19630025740998e-13,22.3899400982325,"Up",TRUE
"OID21028",0.626326351408152,2.43186266318538,7.99610189060309,1.51385015231539e-14,3.54077884696448e-13,22.2716448929806,"Up",TRUE
"OID20690",0.744379659520804,4.36732506527415,7.99409751151107,1.53623714843805e-14,3.54077884696448e-13,22.2572688547615,"Up",TRUE
"OID20211",0.662627406473305,2.13363107049608,7.96566913066193,1.87198848801624e-14,4.24614531646857e-13,22.0632657180324,"Up",TRUE
"OID21439",-1.1476784741488,5.62953315926893,-7.96302931737763,1.90739971643918e-14,4.25886592936186e-13,22.0448927581498,"Down",TRUE
"OID20302",0.642549684741485,5.66979869451697,7.84877103896662,4.19245706693331e-14,9.21695561330416e-13,21.2720520564156,"Up",TRUE
"OID21517",-0.767435245901636,1.81500704960836,-7.78625020020305,6.44577111152512e-14,1.39560710884385e-12,20.8501990491804,"Down",TRUE
"OID20759",-0.823711202185788,3.87662532637076,-7.76756313164114,7.32308981041088e-14,1.56189482672793e-12,20.7250445432628,"Down",TRUE
"OID20368",-0.891506326187471,3.35617806788512,-7.64953913682972,1.6313803124428e-13,3.37861227026196e-12,19.9396680611187,"Down",TRUE
"OID21054",-0.536460874316938,3.00352558746736,-7.53473791407719,3.52075185854844e-13,6.98771445259128e-12,19.1856680397191,"Down",TRUE
"OID20299",-1.11322515762925,2.84009295039164,-7.51617467769149,3.99116756310303e-13,7.81284718859483e-12,19.0628688674745,"Down",TRUE
"OID20933",-0.584145649432532,2.4351725848564,-7.50999125463663,4.15494067238747e-13,8.02352732546175e-12,19.0234177029815,"Down",TRUE
"OID21298",-0.594932955023117,1.42549242819843,-7.50729063486826,4.23458009670225e-13,8.0682866109167e-12,19.0048669203237,"Down",TRUE
"OID20916",-1.46401436738125,2.07014255874674,-7.39324031827548,9.01447458992971e-13,1.69495844592231e-11,18.2648045391297,"Down",TRUE
"OID20355",0.753307129045816,4.81667415143603,7.33724449162695,1.30233857494971e-12,2.38595105590146e-11,17.9045614978682,"Up",TRUE
"OID20787",-1.25127873055905,5.11179190600522,-7.28439623932933,1.83959365910107e-12,3.28597417356928e-11,17.5664619237488,"Down",TRUE
"OID20383",-0.951518163093732,3.73900078328982,-7.27498579969711,1.95591110923153e-12,3.41318570394882e-11,17.5064518738487,"Down",TRUE
"OID20275",-0.750023883984863,0.338053263707572,-7.27477632688775,1.95858101976069e-12,3.41318570394882e-11,17.5051167408887,"Down",TRUE
"OID21284",-0.902418217738543,1.84048459530026,-7.26305995378959,2.1137711058964e-12,3.63925169918789e-11,17.4304855439538,"Down",TRUE
"OID20883",0.937879676334593,1.49966135770235,7.20744115203852,3.03205066915242e-12,5.15809572168905e-11,17.0774492056182,"Up",TRUE
"OID20550",-0.520842992854138,0.511870496083551,-7.1945725988196,3.29505396411102e-12,5.53956719378194e-11,16.9960609518668,"Down",TRUE
"OID20227",1.12579089533417,2.1081637075718,7.14073376601889,4.66116707157952e-12,7.7451252852176e-11,16.6567559785952,"Up",TRUE
"OID21393",-0.636134754098357,1.17781749347258,-7.11893297490259,5.36110851522709e-12,8.80577479110289e-11,16.5199165411352,"Down",TRUE
"OID20125",-1.91150527112231,2.00666762402089,-7.11419898910805,5.52624968285704e-12,8.97387590545763e-11,16.4902445546352,"Down",TRUE
"OID20953",0.637268213535096,3.32242872062663,7.10095605825004,6.01340854683747e-12,9.65523686902331e-11,16.4076046693554,"Up",TRUE
"OID21112",0.760933909205544,4.02330026109661,7.02394902647135,9.8262780056248e-12,1.54304959011405e-10,15.9274719438696,"Up",TRUE
"OID21052",-0.611835418242956,4.71719634464752,-6.98740739075159,1.23787972175446e-11,1.90207540041627e-10,15.7017120038706,"Down",TRUE
"OID21064",-0.792459617486335,4.79624569190601,-6.95281237235602,1.54082615732851e-11,2.29358393627338e-10,15.487794208312,"Down",TRUE
"OID20378",0.6916211223203,7.14910339425587,6.94168862541848,1.65219294632646e-11,2.43400383536135e-10,15.4195860222392,"Up",TRUE
"OID21322",0.534867166876835,2.57959373368146,6.9336203995468,1.73712664570265e-11,2.53301426194805e-10,15.3705659516363,"Up",TRUE
"OID21460",-0.636735372005042,4.11321227154047,-6.93015039679083,1.77646642520621e-11,2.56421264810068e-10,15.3487191986953,"Down",TRUE
"OID21130",-0.61044934846574,0.645836031331593,-6.91581228307882,1.94440420380679e-11,2.75104317548505e-10,15.2604782607776,"Down",TRUE
"OID20049",-1.77180200084068,2.35784778067885,-6.91149481655409,1.9977900975452e-11,2.79886475430597e-10,15.2340146438066,"Down",TRUE
"OID20904",0.929726620428748,3.33567127937337,6.87708894390794,2.47797389998499e-11,3.40688905918933e-10,15.0235861925863,"Up",TRUE
"OID20401",-0.603434316939887,6.55429164490862,-6.87687034106669,2.47947139367173e-11,3.40688905918933e-10,15.022949966737,"Down",TRUE
"OID21494",0.665397713324923,4.54685770234987,6.81581189591156,3.62911459840923e-11,4.93905215345408e-10,14.6509343686157,"Up",TRUE
"OID20573",-0.502781715006304,2.12196631853786,-6.7920973519528,4.2010090481517e-11,5.66343578283847e-10,14.5080035737436,"Down",TRUE
"OID20238",-0.566313778898695,2.85644725848564,-6.77116402722551,4.78304262705646e-11,6.29663810204275e-10,14.3813420745395,"Down",TRUE
"OID20096",0.767090689365277,2.40250574412533,6.77057160654245,4.80289400365752e-11,6.29663810204275e-10,14.3773286927089,"Up",TRUE
"OID21421",0.75718373266078,4.63275613577023,6.68680714926918,8.03817346867962e-11,1.04043632802876e-09,13.8746910470133,"Up",TRUE
"OID21154",-1.16988587221521,2.28006892950392,-6.68592325578122,8.08176573906171e-11,1.04043632802876e-09,13.8694134895903,"Down",TRUE
"OID20989",0.613146729718366,5.10659791122715,6.66786318987345,9.02209445976656e-11,1.14093566221296e-09,13.7619972681235,"Up",TRUE
"OID21138",0.590652610340475,1.79995535248042,6.63943607238234,1.07328024264165e-10,1.34536619889027e-09,13.5926262386542,"Up",TRUE
"OID20696",-0.503603858764183,3.32290391644909,-6.63499634645194,1.10166513890304e-10,1.36893868129777e-09,13.5671032261171,"Down",TRUE
"OID21136",-0.584708717948715,4.03881906005222,-6.59187192777301,1.43192487347563e-10,1.74890653350143e-09,13.3113965441868,"Down",TRUE
"OID20292",-1.05250037831021,5.56261618798956,-6.55478753542385,1.79222610567916e-10,2.17041619069112e-09,13.0925672556667,"Down",TRUE
"OID21419",-0.896855388818828,3.52632349869452,-6.5338110480709,2.03347969442331e-10,2.44188443977387e-09,12.9694402887013,"Down",TRUE
"OID21291",-0.740561702395962,3.56906919060052,-6.52845640337795,2.09999965019889e-10,2.48347685676631e-09,12.9380603320358,"Down",TRUE
"OID21001",-0.717337696511135,3.04702375979112,-6.52822879066226,2.10287403547043e-10,2.48347685676631e-09,12.9367269033554,"Down",TRUE
"OID21364",-0.632875889029001,0.627720365535248,-6.51633250009418,2.25859820653252e-10,2.64552199765162e-09,12.8670863605984,"Down",TRUE
"OID20416",0.537108528793608,3.02330939947781,6.50905375561369,2.35822878633502e-10,2.73976336233556e-09,12.8249760401985,"Up",TRUE
"OID20581",-0.537908860865909,1.75866736292428,-6.49608786168923,2.54999019062455e-10,2.91514878592199e-09,12.7488086076063,"Down",TRUE
"OID21349",-0.531352648171497,1.41919477806789,-6.43615013402933,3.64613341984885e-10,4.10261784012914e-09,12.4003589793536,"Down",TRUE
"OID20660",0.638470546448084,3.8357592689295,6.39051310201438,4.77900978149261e-10,5.2939573470953e-09,12.1367904062941,"Up",TRUE
"OID20533",0.850222433795707,4.4393046997389,6.38534772676743,4.92716799542325e-10,5.41609466573833e-09,12.1070540057546,"Up",TRUE
"OID21391",-1.27318466162253,4.15744595300261,-6.36688975594688,5.49429154853703e-10,5.94798683549956e-09,12.0009525678564,"Down",TRUE
"OID20113",0.665054010088269,3.29710835509138,6.35581925354662,5.86460838052263e-10,6.30114689907281e-09,11.9374354372732,"Up",TRUE
"OID20651",-0.566942660781838,3.94224516971279,-6.33177213123595,6.75342413234403e-10,7.14862450749602e-09,11.8000159191872,"Down",TRUE
"OID21372",-0.789992131147536,2.18479399477807,-6.30719437178064,7.80212779775762e-10,8.13813184160266e-09,11.6595101347097,"Down",TRUE
"OID20969",0.576378894493482,6.02230522193211,6.29833990292236,8.21388811795402e-10,8.50554066706978e-09,11.6094211824071,"Up",TRUE
"OID20599",0.561790323665403,3.24314281984334,6.2626044524273,1.01198483481734e-09,1.03294737782427e-08,11.4063418461275,"Up",TRUE
"OID20647",-0.867403795712481,4.73298224543081,-6.25532913077991,1.05594659069149e-09,1.07017565822563e-08,11.3649749639225,"Down",TRUE
"OID20316",-0.518829306431271,6.01245613577024,-6.23773029116734,1.1688396296276e-09,1.1746072804711e-08,11.2660916131996,"Down",TRUE
"OID21378",-1.23029272123225,2.45634973544974,-6.23148662083148,1.22729717093948e-09,1.21792198421702e-08,11.2246311136431,"Down",TRUE
"OID20951",-0.643593724253886,2.66172245430809,-6.21553243912832,1.33021411334273e-09,1.31094894342535e-08,11.1403189139129,"Down",TRUE
"OID21328",-0.782886116015129,3.64637206266319,-6.21335888928708,1.34705161380998e-09,1.31844983296881e-08,11.1280827222603,"Down",TRUE
"OID21499",-1.00446188734762,3.71093420365535,-6.20897247691285,1.38166869668989e-09,1.34313235889105e-08,11.1033996704619,"Down",TRUE
"OID20393",-0.598457990752416,3.08158015665796,-6.20384513546524,1.42323746726987e-09,1.3741934734653e-08,11.0745653448982,"Down",TRUE
"OID20129",-0.67971461958806,1.66976161879896,-6.1985372111826,1.46755897592424e-09,1.40747770241324e-08,11.0447359961224,"Down",TRUE
"OID20543",0.753855573770488,2.45647885117493,6.19699479548595,1.48068954843761e-09,1.41060357647823e-08,11.0360718783613,"Up",TRUE
"OID21123",-1.05577490121899,2.65273289817232,-6.18877382062777,1.55263737691523e-09,1.46935020636547e-08,10.989922442904,"Down",TRUE
"OID20912",-0.7950062211013,2.462972845953,-6.15173786294771,1.92149361245823e-09,1.79464991647243e-08,10.782638712834,"Down",TRUE
"OID20200",-1.13740756620428,3.13081618798956,-6.12399143339667,2.25272039800145e-09,2.07858359465122e-08,10.628015500206,"Down",TRUE
"OID21008",-0.635489264396802,1.3641135770235,-6.10987101569559,2.44210232302137e-09,2.23702834589586e-08,10.5495467639845,"Down",TRUE
"OID20745",-0.829343900798652,4.64194360313316,-6.10447894154482,2.51845454645234e-09,2.29227487062445e-08,10.5196217008244,"Down",TRUE
"OID20295",-0.811482934005879,4.16732349869452,-6.06231082608928,3.20168340021587e-09,2.87748778547703e-08,10.286346531117,"Down",TRUE
"OID20414",-0.574405838587639,4.4772634464752,-6.06028533376678,3.23820810694077e-09,2.89212461551148e-08,10.2753124429067,"Down",TRUE
"OID21412",-0.571479083648588,2.75873133159269,-6.05019987648683,3.42936823929365e-09,3.0438305676712e-08,10.2195948668502,"Down",TRUE
"OID20602",0.543093589743588,1.47319608355091,6.00961727787512,4.31371954479887e-09,3.75872270092536e-08,9.99672065143536,"Up",TRUE
"OID21384",-0.708368827238332,2.53150966057441,-6.00725028367607,4.37166808821347e-09,3.78612951397397e-08,9.98375972384498,"Down",TRUE
"OID21032",-0.531133089533415,0.727250391644909,-5.97914868770205,5.12052047112419e-09,4.40796611640751e-08,9.8302072628912,"Down",TRUE
"OID21094",-0.828694716267335,1.80764647519582,-5.93836950864672,6.43445034534457e-09,5.440727540531e-08,9.60844461760389,"Down",TRUE
"OID21337",0.681648297604032,3.46018851174935,5.85085327157841,1.04616969104952e-08,8.64148259254201e-08,9.1367870759501,"Up",TRUE
"OID21446",-0.880708692728033,4.48751644908616,-5.84129220489116,1.10284502136807e-08,9.05727319272969e-08,9.08561317745644,"Down",TRUE
"OID20600",-0.599551975620006,2.88092819843342,-5.8292780057473,1.17832153689204e-08,9.62183700696418e-08,9.02140858107504,"Down",TRUE
"OID21135",0.589674413619165,2.13862637075718,5.81321697812103,1.28713546292018e-08,1.04506623665508e-07,8.93575034785809,"Up",TRUE
"OID20784",-0.860354821353506,6.08858668407311,-5.79948258089225,1.38791110848012e-08,1.12052258419101e-07,8.86265779375606,"Down",TRUE
"OID20276",-0.568258474148798,2.88465117493473,-5.77421816928443,1.59375927249026e-08,1.27233631306625e-07,8.72858289481399,"Down",TRUE
"OID20676",0.509366364018491,3.16357989556136,5.68323688523939,2.61179393916376e-08,2.03948280823225e-07,8.24995499006941,"Up",TRUE
"OID21110",-0.616847356031943,3.79365639686684,-5.65364703963001,3.06337821308594e-08,2.37911275353251e-07,8.09551967476187,"Down",TRUE
"OID21463",-0.664091828499366,5.36873864229765,-5.63325841568532,3.41758035137262e-08,2.62565716242552e-07,7.98958395961996,"Down",TRUE
"OID21411",-1.39830217738545,3.13947467362924,-5.62560851847717,3.56051322198176e-08,2.72084138727911e-07,7.9499200483854,"Down",TRUE
"OID20932",0.510989991593104,2.13320234986945,5.61547443309413,3.75885191225164e-08,2.85712733117425e-07,7.89744621569417,"Up",TRUE
"OID21011",0.548477393862966,4.51082062663185,5.60092975602089,4.06228598650904e-08,3.05526667090601e-07,7.82230455448941,"Up",TRUE
"OID20970",-0.813580071458592,2.76204960835509,-5.58108704309355,4.51533160501443e-08,3.34321702775421e-07,7.71998823651572,"Down",TRUE
"OID21150",0.667131530054638,4.28928328981723,5.56065532572468,5.03293498975658e-08,3.70724953626915e-07,7.6149878283318,"Up",TRUE
"OID20807",-0.533581269440939,0.715144386422977,-5.52672195208912,6.02274447402963e-08,4.4135906940453e-07,7.44132539510418,"Down",TRUE
"OID20512",-0.748380731399745,0.371884856396867,-5.48824538534575,7.37474129197213e-08,5.2957313096624e-07,7.24550862762292,"Down",TRUE
"OID20148",0.544972559899115,2.94804751958225,5.4787498037154,7.75134432017195e-08,5.53833551676286e-07,7.1973629688036,"Up",TRUE
"OID20205",-0.740879352669185,2.38983289817232,-5.46205605893314,8.45924620976221e-08,6.01406111131851e-07,7.11289309291992,"Down",TRUE
"OID21451",-0.999776460697765,4.7355590078329,-5.45166158676271,8.93136103638646e-08,6.31827471336448e-07,7.0604087536475,"Down",TRUE
"OID20233",-0.819583593947033,5.34278668407311,-5.42890511125724,1.00560807500969e-07,7.0441859764159e-07,6.94580438480011,"Down",TRUE
"OID20298",0.636091013030682,3.18839895561358,5.42379511748191,1.03269470055998e-07,7.16647873798069e-07,6.92012631172134,"Up",TRUE
"OID21321",-0.624139894913826,0.775616971279373,-5.42372033725124,1.03309630512528e-07,7.16647873798069e-07,6.9197506897655,"Down",TRUE
"OID20596",1.13781348886086,2.9021365535248,5.41779519089793,1.06540408558223e-07,7.35489100626572e-07,6.89000272637238,"Up",TRUE
"OID20999",-0.687155073560316,4.64355953002611,-5.37010232052286,1.36375024832422e-07,9.23601471495408e-07,6.65157130485578,"Down",TRUE
"OID20274",1.0952796595208,3.45766240208877,5.35868935182619,1.44637269595041e-07,9.70359897893492e-07,6.59478305008214,"Up",TRUE
"OID20847",0.849350575872213,3.03329373368146,5.34145931745638,1.58038619015834e-07,1.0504055189471e-06,6.50924744271385,"Up",TRUE
"OID21453",0.865915788146275,8.89979817232376,5.33989437962113,1.5931386218099e-07,1.05397920859553e-06,6.50149032276445,"Up",TRUE
"OID21101",-0.806111084489278,6.00934621409922,-5.31452790153629,1.81432420840729e-07,1.18929784119909e-06,6.37602643484003,"Down",TRUE
"OID21486",-0.663103236654054,2.48390026109661,-5.26703621422589,2.31122454873707e-07,1.48104927360774e-06,6.14251698022157,"Down",TRUE
"OID21309",0.866616792770068,4.76698590078329,5.24623750807241,2.56828378368395e-07,1.63842746735909e-06,6.04082361252646,"Up",TRUE
"OID20489",0.577759197141654,2.13458903394256,5.24214645421466,2.6220125352308e-07,1.66526929459769e-06,6.02086177538759,"Up",TRUE
"OID21038",-0.781876654056322,2.60583107049608,-5.22225406467165,2.89918465159101e-07,1.81707669610682e-06,5.92399140943547,"Down",TRUE
"OID21296",0.918449924337954,5.68130652741514,5.21754250805007,2.9688810544401e-07,1.85263363615498e-06,5.901094212042,"Up",TRUE
"OID20937",0.854003488860862,4.21807597911227,5.19418642185639,3.33906549564467e-07,2.0745759101201e-06,5.78785322236856,"Up",TRUE
"OID20714",0.896143215636815,6.54355039164491,5.18275569062277,3.53617185943258e-07,2.18752795979617e-06,5.73259259339542,"Up",TRUE
"OID20738",-0.719941357713322,5.09653368146214,-5.17120854370976,3.74671387384331e-07,2.30778195074228e-06,5.67687658339673,"Down",TRUE
"OID21518",-0.504423854560738,0.94673681462141,-5.14047753123492,4.36793121627145e-07,2.65607391831996e-06,5.52912346680023,"Down",TRUE
"OID20979",0.58978465741908,6.51764621409922,5.05226659893111,6.75668567083966e-07,3.95709173099585e-06,5.10927825252914,"Up",TRUE
"OID20237",0.514552597730136,3.33809582245431,5.0379327773401,7.24884617410696e-07,4.19376566105217e-06,5.04165563226749,"Up",TRUE
"OID21227",0.57226595628415,3.02513759791123,5.02511441207671,7.71820235928297e-07,4.44580029571753e-06,4.98132498977866,"Up",TRUE
"OID20175",-0.901902723833538,2.92711305483029,-5.02436044788424,7.74670590366455e-07,4.44580029571753e-06,4.97778059126511,"Down",TRUE
"OID21469",-0.895761853720046,6.33568407310705,-5.01096821451985,8.27028795033321e-07,4.70846274144468e-06,4.9149011578453,"Down",TRUE
"OID21410",0.63448883144178,1.14294229765013,4.99015337680492,9.15260561400785e-07,5.19010850095921e-06,4.81746321592022,"Up",TRUE
"OID21368",-0.524896355611599,5.07247467362924,-4.96101855035174,1.05418339835591e-06,5.86158784533307e-06,4.68167617846925,"Down",TRUE
"OID20570",0.63309715006305,5.66872506527415,4.93809528138953,1.17760067512951e-06,6.4972639566026e-06,4.57533047773997,"Up",TRUE
"OID20677",-0.543353266078181,3.26901122715405,-4.9271278476225,1.24147622812979e-06,6.77125774808196e-06,4.5246036540589,"Down",TRUE
"OID20748",-0.729831500630513,6.10488720626632,-4.88884514246413,1.49172416055193e-06,8.01381137379211e-06,4.34831680618135,"Down",TRUE
"OID21498",0.602105666246318,5.49007336814621,4.86352520974635,1.68328111076895e-06,8.97540562421206e-06,4.232388615324,"Up",TRUE
"OID20259",-0.609345594787723,1.92642140992167,-4.83466043626685,1.93063340182663e-06,1.0131816557141e-05,4.10087933104311,"Down",TRUE
"OID20642",-0.630505510718787,4.08598877284595,-4.79771460242237,2.29874801974785e-06,1.17738742660203e-05,3.93356370263946,"Down",TRUE
"OID20408",-0.620609264396803,4.28666318537859,-4.76274303055806,2.70891877933494e-06,1.36786040129669e-05,3.77623761592564,"Down",TRUE
"OID21493",-0.556811778058005,2.71020130548303,-4.75556822418844,2.80138180891768e-06,1.40956852286738e-05,3.74408676161727,"Down",TRUE
"OID20392",-0.572680403530892,2.50910287206266,-4.73713127311129,3.05313854014682e-06,1.51490797703813e-05,3.66166695787522,"Down",TRUE
"OID21133",-0.547304863387975,3.90127336814621,-4.70874011675214,3.48391367949595e-06,1.69915107440263e-05,3.53530530101502,"Down",TRUE
"OID20214",-0.707801298865064,3.42270391644909,-4.69259693565883,3.75434723285538e-06,1.81248722829403e-05,3.46375786931685,"Down",TRUE
"OID20220",-1.11086792349727,4.42864960835509,-4.68852923586237,3.82561266657936e-06,1.84067356920603e-05,3.44576414664091,"Down",TRUE
"OID20669",0.585992530474986,6.87191227154047,4.6802559696959,3.9745965302684e-06,1.89956469623864e-05,3.40920976243386,"Up",TRUE
"OID20103",-0.589985905842788,1.8128819843342,-4.60182607309896,5.69367929015729e-06,2.65891101491332e-05,3.06554212727406,"Down",TRUE
"OID20079",-0.511933661202183,0.185757702349869,-4.58780577909265,6.0683444470302e-06,2.80636382356186e-05,3.00465478664491,"Down",TRUE
